UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz
2026_06_09_01_11_49.293,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_09_01_11_49.313,0.020000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_09_01_11_49.333,0.040000,1.00000000,-0.00000248,-0.00000290,-0.00001113,1.00000000,0.00002227,-0.00000581,-0.00002227,1.00000000,0.00000495,0.00000581,-0.00000495,1.00000000,-0.000284,0.000333,0.001276,-12.256461,108.934204,307.151215
2026_06_09_01_11_49.352,0.060000,1.00000000,-0.00000441,-0.00000610,-0.00002259,1.00000000,0.00004519,-0.00001220,-0.00004519,1.00000000,0.00000882,0.00001220,-0.00000882,1.00000000,-0.000506,0.000699,0.002589,-11.662344,103.702263,293.222900
2026_06_09_01_11_49.372,0.080000,1.00000000,-0.00000625,-0.00000999,-0.00003431,1.00000000,0.00006862,-0.00001998,-0.00006862,1.00000000,0.00001251,0.00001998,-0.00001251,1.00000000,-0.000717,0.001145,0.003932,-11.520886,98.215767,278.628723
2026_06_09_01_11_49.392,0.100000,1.00000000,-0.00000799,-0.00001409,-0.00004578,1.00000000,0.00009156,-0.00002817,-0.00009156,1.00000000,0.00001599,0.00002817,-0.00001599,1.00000000,-0.000916,0.001614,0.005246,-11.522023,92.394051,263.257019
2026_06_09_01_11_49.412,0.120000,1.00000000,-0.00000963,-0.00001836,-0.00005653,1.00000000,0.00011306,-0.00003672,-0.00011306,1.00000000,0.00001927,0.00003672,-0.00001926,1.00000000,-0.001104,0.002104,0.006479,-11.298322,86.450432,247.245682
2026_06_09_01_11_49.434,0.140000,1.00000000,-0.00001117,-0.00002279,-0.00006655,1.00000000,0.00013310,-0.00004557,-0.00013310,1.00000000,0.00002233,0.00004558,-0.00002233,1.00000000,-0.001279,0.002611,0.007627,-10.693627,80.564354,230.753082
2026_06_09_01_11_49.451,0.160000,1.00000000,-0.00001259,-0.00002733,-0.00007625,1.00000000,0.00015250,-0.00005466,-0.00015250,1.00000000,0.00002518,0.00005467,-0.00002517,1.00000000,-0.001443,0.003132,0.008738,-9.801590,74.665833,213.860077
2026_06_09_01_11_49.471,0.180000,1.00000000,-0.00001433,-0.00003197,-0.00008602,1.00000000,0.00017205,-0.00006394,-0.00017205,1.00000000,0.00002867,0.00006394,-0.00002866,1.00000000,-0.001642,0.003664,0.009858,-9.121288,68.496460,196.813675
2026_06_09_01_11_49.491,0.200000,1.00000000,-0.00001637,-0.00003667,-0.00009582,1.00000000,0.00019165,-0.00007334,-0.00019164,1.00000000,0.00003274,0.00007335,-0.00003272,1.00000000,-0.001875,0.004202,0.010981,-8.381353,62.099819,179.777527
2026_06_09_01_11_49.511,0.220000,1.00000000,-0.00001824,-0.00004141,-0.00010517,1.00000000,0.00021034,-0.00008282,-0.00021034,1.00000000,0.00003649,0.00008283,-0.00003648,1.00000000,-0.002090,0.004746,0.012052,-7.540222,55.974991,162.474655
2026_06_09_01_11_49.531,0.240000,1.00000000,-0.00001996,-0.00004574,-0.00011404,0.99999994,0.00022807,-0.00009147,-0.00022807,1.00000000,0.00003993,0.00009148,-0.00003991,1.00000000,-0.002287,0.005241,0.013069,-7.039513,49.754436,145.363922
2026_06_09_01_11_49.551,0.260000,1.00000000,-0.00002151,-0.00005008,-0.00012241,0.99999994,0.00024482,-0.00010015,-0.00024481,0.99999994,0.00004304,0.00010016,-0.00004301,1.00000000,-0.002465,0.005738,0.014028,-6.961332,43.185184,128.496124
2026_06_09_01_11_49.570,0.280000,1.00000000,-0.00002291,-0.00005440,-0.00013026,0.99999994,0.00026053,-0.00010880,-0.00026052,0.99999994,0.00004583,0.00010881,-0.00004580,1.00000000,-0.002624,0.006234,0.014928,-6.732382,37.133640,111.654121
2026_06_09_01_11_49.590,0.300000,1.00000000,-0.00002457,-0.00005870,-0.00013802,0.99999994,0.00027604,-0.00011739,-0.00027604,0.99999994,0.00004916,0.00011741,-0.00004913,1.00000000,-0.002815,0.006727,0.015817,-5.928607,31.580215,95.328224
2026_06_09_01_11_49.610,0.320000,1.00000000,-0.00002648,-0.00006295,-0.00014564,0.99999994,0.00029129,-0.00012588,-0.00029128,0.99999994,0.00005298,0.00012590,-0.00005294,1.00000000,-0.003034,0.007213,0.016691,-4.966823,25.806953,79.333260
2026_06_09_01_11_49.630,0.340000,1.00000000,-0.00002819,-0.00006670,-0.00015267,0.99999994,0.00030535,-0.00013338,-0.00030534,0.99999994,0.00005640,0.00013340,-0.00005635,1.00000000,-0.003229,0.007643,0.017497,-4.388031,20.165543,63.299221
2026_06_09_01_11_49.652,0.360000,1.00000000,-0.00002969,-0.00006995,-0.00015911,0.99999994,0.00031822,-0.00013990,-0.00031821,0.99999994,0.00005941,0.00013992,-0.00005937,1.00000000,-0.003402,0.008016,0.018234,-4.104127,15.013775,47.403133
2026_06_09_01_11_49.669,0.380000,1.00000000,-0.00003100,-0.00007316,-0.00016537,0.99999994,0.00033074,-0.00014631,-0.00033073,0.99999994,0.00006203,0.00014633,-0.00006198,1.00000000,-0.003551,0.008383,0.018951,-3.597651,9.872293,32.197289
2026_06_09_01_11_49.689,0.400000,1.00000000,-0.00003211,-0.00007672,-0.00017100,0.99999994,0.00034201,-0.00015343,-0.00034200,0.99999994,0.00006425,0.00015345,-0.00006420,1.00000000,-0.003679,0.008792,0.019597,-2.809994,4.717857,17.915033
2026_06_09_01_11_49.709,0.420000,1.00000000,-0.00003304,-0.00008018,-0.00017559,0.99999994,0.00035119,-0.00016035,-0.00035118,0.99999994,0.00006610,0.00016037,-0.00006604,1.00000000,-0.003784,0.009188,0.020123,-2.263293,-0.134954,4.244931
2026_06_09_01_11_49.729,0.440000,0.99998009,-0.00594465,0.00215161,-0.00017904,0.99999070,0.00033250,0.00430527,-0.00038366,0.99992925,0.01188830,-0.00430101,-0.01188984,0.99992007,-0.681310,-0.246693,0.019052,-1.698218,-4.489814,-8.523423
2026_06_09_01_11_49.749,0.460000,0.99998009,-0.00594438,0.00214878,-0.00018287,0.99999070,0.00034019,0.00429964,-0.00039128,0.99992925,0.01188775,-0.00429530,-0.01188932,0.99992007,-0.681280,-0.246370,0.019493,-1.218610,-8.848971,-20.631895
2026_06_09_01_11_49.768,0.480000,0.99998009,-0.00594399,0.00214563,-0.00018653,0.99999070,0.00034755,0.00429338,-0.00039857,0.99992925,0.01188694,-0.00428895,-0.01188854,0.99992013,-0.681235,-0.246012,0.019915,-0.829049,-13.000171,-32.164116
2026_06_09_01_11_49.789,0.500000,0.99998009,-0.00594347,0.00214219,-0.00019002,0.99999076,0.00035457,0.00428655,-0.00040549,0.99992925,0.01188589,-0.00428204,-0.01188752,0.99992019,-0.681177,-0.245620,0.020317,-0.141731,-16.739067,-42.927250
2026_06_09_01_11_49.808,0.520000,0.99998009,-0.00594284,0.00213850,-0.00019332,0.99999076,0.00036121,0.00427921,-0.00041205,0.99992931,0.01188462,-0.00427462,-0.01188627,0.99992019,-0.681106,-0.245200,0.020698,0.440593,-20.284142,-52.949791
2026_06_09_01_11_49.828,0.540000,0.99998009,-0.00594211,0.00213459,-0.00019643,0.99999082,0.00036748,0.00427143,-0.00041821,0.99992931,0.01188314,-0.00426676,-0.01188482,0.99992025,-0.681022,-0.244754,0.021057,0.896074,-23.363651,-62.269798
2026_06_09_01_11_49.848,0.560000,0.99998009,-0.00594128,0.00213092,-0.00019891,0.99999082,0.00037249,0.00426411,-0.00042313,0.99992931,0.01188148,-0.00425938,-0.01188318,0.99992031,-0.680928,-0.244334,0.021344,1.204150,-26.442642,-70.942337
2026_06_09_01_11_49.868,0.580000,0.99998009,-0.00594037,0.00212791,-0.00020079,0.99999088,0.00037629,0.00425813,-0.00042686,0.99992937,0.01187965,-0.00425336,-0.01188136,0.99992037,-0.680824,-0.243992,0.021562,1.564703,-29.356457,-78.502396
2026_06_09_01_11_49.887,0.600000,0.99998009,-0.00593895,0.00212514,-0.00020252,0.99999088,0.00037978,0.00425259,-0.00043027,0.99992937,0.01187681,-0.00424778,-0.01187853,0.99992043,-0.680662,-0.243674,0.021762,2.020989,-31.980051,-85.089088
