UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h
2026_06_10_15_44_43.034,3.757,25.6,0,0.753,0,0,0,0.034, ,0,0,0,0,0, ,-38,157.9,988.7,-0.9,-0.5,-1.8,25,-0.129087,0.53639,3.35864,-0.00305732,-0.00169851,-0.00611464
2026_06_10_15_44_43.054,3.757,25.7,0,0.755,0,0,0,0.036, ,0,0,0,0,0, ,-36.6,157.8,989.1,-0.5,-0.5,-1.6,25,-0.0999376,0.555466,3.50325,0.00662861,-0.00176668,-0.00145574
2026_06_10_15_44_43.073,3.757,25.6,0,0.756,0,0,0,0.035, ,0,0,0,0,0, ,-37.2,157.1,991.5,-1,-0.4,-1.8,25,-0.0521081,0.551253,3.69216,0.0133547,0.000629357,0.00298185
2026_06_10_15_44_43.093,3.757,25.6,0,0.756,0,0,0,0.036, ,0,0,0,0,0, ,-37.4,160.1,989.3,-0.6,-0.4,-1.7,25,-0.0259848,0.600929,3.85851,0.0172329,0.00535695,0.00473496
2026_06_10_15_44_43.113,3.757,25.6,0,0.756,0,0,0,0.037, ,0,0,0,0,0, ,-36.6,156.7,989.3,-0.5,-0.4,-1.8,25,0.0136983,0.635398,3.94375,0.0330968,0.00982628,0.00637874
2026_06_10_15_44_43.133,3.757,25.7,0,0.755,0,0,0,0.037, ,0,0,0,0,0, ,-37.5,158.6,989.1,-0.9,-0.4,-1.8,25,0.0489157,0.628263,4.00046,0.0406631,0.014028,0.00545832
2026_06_10_15_44_43.153,3.757,25.6,0,0.758,0,0,0,0.037, ,0,0,0,0,0, ,-36.8,158.5,989.2,-0.6,-0.5,-1.7,25,0.0772604,0.662521,4.03222,0.0452058,0.0155024,0.0070083
2026_06_10_15_44_43.173,3.757,25.7,0,0.755,0,0,0,0.038, ,0,0,0,0,0, ,-37.4,158.3,989,-0.6,-0.4,-1.7,25,0.106286,0.684477,4.04011,0.0566594,0.016828,0.0108999
2026_06_10_15_44_43.192,3.757,25.7,0,0.756,0,0,0,0.038, ,0,0,0,0,0, ,-36.9,157.3,989.5,-0.9,-0.4,-1.8,25,0.130913,0.672557,4.03505,0.0599155,0.0204579,0.0120947
2026_06_10_15_44_43.213,3.757,25.7,0,0.756,0,0,0,0.038, ,0,0,0,0,0, ,-36.4,158.9,988.7,-0.5,-0.4,-1.7,25,0.178208,0.67262,4.003,0.0651688,0.0238089,0.0131714
2026_06_10_15_44_43.233,3.757,25.7,0,0.757,0,0,0,0.039, ,0,0,0,0,0, ,-38,156.6,990.4,-0.8,-0.5,-1.7,25,0.195332,0.652199,3.97486,0.0722955,0.0244261,0.0165825
