UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_18_39_37.872,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_18_39_37.892,0.020000,0.98330736,0.18088916,0.01931593,-0.00355336,0.99922854,0.01397617,0.03670146,0.00000000,0.93453300,-0.35587656,-0.03927251,0.35560203,0.93381202,20.848713,-2.103466,0.801400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_18_39_37.912,0.040000,0.98332071,0.18081404,0.01928298,-0.00385915,0.99922657,0.01456283,0.03652713,-0.00061630,0.93458277,-0.35574523,-0.03931829,0.35544756,0.93386889,20.839273,-2.093471,0.835037,0.000209,0.001831,9.808891,-0.000142,0.004874,0.007659
2026_07_06_18_39_37.932,0.060000,0.98333371,0.18074039,0.01924980,-0.00416391,0.99922419,0.01514747,0.03635278,-0.00123060,0.93463117,-0.35561654,-0.03936313,0.35529593,0.93392473,20.830008,-2.083473,0.868557,0.000751,0.003748,9.809365,0.000377,0.006841,0.007440
2026_07_06_18_39_37.952,0.080000,0.98334616,0.18066852,0.01921632,-0.00446771,0.99922156,0.01573017,0.03617823,-0.00184304,0.93467784,-0.35549107,-0.03940693,0.35514769,0.93397927,20.820951,-2.073465,0.901966,0.001633,0.005052,9.809744,0.001239,0.008208,0.007363
2026_07_06_18_39_37.971,0.100000,0.98335832,0.18059830,0.01918252,-0.00477058,0.99921852,0.01631105,0.03600347,-0.00245372,0.93472302,-0.35536870,-0.03944970,0.35500267,0.93403256,20.812092,-2.063445,0.935271,0.002619,0.006044,9.809855,0.002214,0.009190,0.007151
2026_07_06_18_39_37.991,0.120000,0.98337013,0.18052961,0.01914810,-0.00507323,0.99921525,0.01689133,0.03582760,-0.00306414,0.93476665,-0.35524914,-0.03949107,0.35486057,0.93408483,20.803410,-2.053361,0.968541,0.003090,0.006980,9.810212,0.002663,0.010200,0.007169
2026_07_06_18_39_38.011,0.140000,0.98338157,0.18046232,0.01911317,-0.00537620,0.99921155,0.01747212,0.03565068,-0.00367529,0.93480891,-0.35513213,-0.03953149,0.35472110,0.93413609,20.794889,-2.043217,1.001840,0.003537,0.007744,9.810256,0.003101,0.010939,0.006955
2026_07_06_18_39_38.031,0.160000,0.98339254,0.18039651,0.01907813,-0.00567881,0.99920756,0.01805226,0.03547370,-0.00428575,0.93484968,-0.35501787,-0.03957145,0.35458449,0.93418622,20.786545,-2.033069,1.035102,0.004373,0.009311,9.809624,0.003949,0.012196,0.005839
2026_07_06_18_39_38.050,0.180000,0.98340327,0.18033218,0.01904237,-0.00598069,0.99920326,0.01863076,0.03529565,-0.00489495,0.93488908,-0.35490629,-0.03960969,0.35445073,0.93423539,20.778374,-2.022861,1.068270,0.005009,0.011009,9.809516,0.004574,0.013758,0.005159
2026_07_06_18_39_38.070,0.200000,0.98341382,0.18026862,0.01900603,-0.00628237,0.99919862,0.01920871,0.03511656,-0.00550395,0.93492752,-0.35479611,-0.03964662,0.35431850,0.93428397,20.770296,-2.012593,1.101406,0.005756,0.012242,9.809950,0.005290,0.015081,0.005155
2026_07_06_18_39_38.089,0.220000,0.98342413,0.18020518,0.01896920,-0.00658437,0.99919361,0.01978716,0.03493647,-0.00611377,0.93496549,-0.35468605,-0.03968262,0.35418645,0.93433255,20.762228,-2.002267,1.134571,0.006609,0.013247,9.810040,0.006124,0.016072,0.004911
2026_07_06_18_39_38.110,0.240000,0.98343432,0.18014196,0.01893179,-0.00688616,0.99918836,0.02036499,0.03475538,-0.00672335,0.93500292,-0.35457629,-0.03971732,0.35405481,0.93438095,20.754185,-1.991884,1.167700,0.007533,0.014553,9.809874,0.007037,0.017257,0.004327
2026_07_06_18_39_38.130,0.260000,0.98344427,0.18008013,0.01889425,-0.00718714,0.99918270,0.02094125,0.03457437,-0.00733134,0.93503898,-0.35446912,-0.03975141,0.35392594,0.93442833,20.746311,-1.981506,1.200740,0.008476,0.016327,9.810351,0.007937,0.019107,0.004177
2026_07_06_18_39_38.150,0.280000,0.98345357,0.18002068,0.01885676,-0.00748791,0.99917668,0.02151724,0.03439355,-0.00793881,0.93507296,-0.35436636,-0.03978546,0.35380155,0.93447393,20.738714,-1.971139,1.233763,0.008920,0.018312,9.811085,0.008326,0.021237,0.004176
2026_07_06_18_39_38.171,0.300000,0.98346257,0.17996295,0.01881933,-0.00778848,0.99917036,0.02209292,0.03421293,-0.00854580,0.93510532,-0.35426679,-0.03981949,0.35368052,0.93451834,20.731321,-1.960784,1.266769,0.009333,0.020113,9.811126,0.008711,0.022949,0.003592
2026_07_06_18_39_38.188,0.320000,0.98347127,0.17990576,0.01878191,-0.00808884,0.99916363,0.02266823,0.03403248,-0.00915233,0.93513697,-0.35416812,-0.03985339,0.35356045,0.93456233,20.723989,-1.950437,1.299754,0.009926,0.021810,9.811231,0.009270,0.024590,0.003109
2026_07_06_18_39_38.208,0.340000,0.98347968,0.17985016,0.01874403,-0.00838962,0.99915653,0.02324428,0.03385099,-0.00975981,0.93516707,-0.35407245,-0.03988649,0.35344344,0.93460518,20.716845,-1.940032,1.332781,0.010672,0.023563,9.811175,0.009987,0.026233,0.002462
2026_07_06_18_39_38.229,0.360000,0.98348755,0.17979702,0.01870562,-0.00869031,0.99914914,0.02382005,0.03366851,-0.01036719,0.93519503,-0.35398138,-0.03991847,0.35333115,0.93464625,20.709988,-1.929570,1.365793,0.011348,0.024706,9.811085,0.010639,0.027292,0.001997
2026_07_06_18_39_38.248,0.380000,0.98349482,0.17974618,0.01866719,-0.00899030,0.99914140,0.02439453,0.03348624,-0.01097310,0.93522096,-0.35389450,-0.03995012,0.35322323,0.93468571,20.703400,-1.919120,1.398730,0.011701,0.025788,9.811738,0.010939,0.028549,0.002237
