UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_07_06_21_44_47.612,3.866,34.1,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-40.7,365.6,930.7,-0.8,-0.5,-1.7,25,-40.7,365.6,930.7,-0.8,-0.5,-1.7,
2026_07_06_21_44_47.632,3.866,34,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-40,363.8,931.5,-0.8,-0.5,-1.8,25,-40.6787,365.545,930.724,-0.8,-0.5,-1.70305,
2026_07_06_21_44_47.651,3.866,34.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-39.5,365.7,932,-0.8,-0.5,-1.8,25,-40.6221,365.497,930.787,-0.8,-0.5,-1.70895,
2026_07_06_21_44_47.671,3.866,34.1,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-38.5,363.7,930.4,-0.7,-0.5,-1.7,25,-40.5232,365.448,930.812,-0.796953,-0.5,-1.71146,
2026_07_06_21_44_47.696,3.866,34.1,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-39.1,365.4,932.1,-0.7,-0.5,-1.7,25,-40.4182,365.393,930.839,-0.791045,-0.5,-1.71076,
2026_07_06_21_44_47.711,3.866,34.1,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-40.8,365.6,930.5,-0.7,-0.5,-1.8,25,-40.3897,365.4,930.867,-0.785497,-0.5,-1.71315,
2026_07_06_21_44_47.730,3.866,34.1,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-41,366,930.5,-0.7,-0.5,-1.7,25,-40.4208,365.424,930.844,-0.780287,-0.5,-1.71539,
2026_07_06_21_44_47.750,3.866,34.1,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-39,364.3,932,-0.6,-0.4,-1.8,25,-40.3951,365.408,930.869,-0.772348,-0.496953,-1.7175,
2026_07_06_21_44_47.770,3.866,34.1,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-39.4,364.8,929.5,-0.6,-0.5,-1.7,25,-40.3223,365.355,930.862,-0.761845,-0.494092,-1.71948,
2026_07_06_21_44_47.790,3.866,34.1,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-39,365.2,931,-0.7,-0.5,-1.8,25,-40.2539,365.334,930.825,-0.75503,-0.494452,-1.72134,
