time_sec_index,time_sec_from_utc,UTC_Time,Accel_x_ms2,Accel_y_ms2,Accel_z_ms2,gyro_x_raw,gyro_y_raw,gyro_z_raw,dt_utc
0.0,0.0,2026-05-21 16:59:17.468,-0.8377740000000001,-1.1153970000000002,9.725634,0.2,0.0,-2.7,
0.02,0.02,2026-05-21 16:59:17.488,-0.870147,-1.110492,9.822752999999999,-0.9,-0.7,-2.8,0.02
0.04,0.039,2026-05-21 16:59:17.507,-0.810306,-1.1546370000000001,9.781551,-1.8,-0.9,-2.8,0.019
0.06,0.059,2026-05-21 16:59:17.527,-0.854451,-1.142865,9.762912000000002,-1.5,-0.1,-0.9,0.02
0.08,0.079,2026-05-21 16:59:17.547,-0.95157,-1.1153970000000002,9.691299,-0.3,0.3,-1.0,0.02
0.1,0.098,2026-05-21 16:59:17.566,-0.947646,-1.114416,9.753102000000002,0.7,0.1,-2.0,0.019
0.12,0.118,2026-05-21 16:59:17.586,-0.9191970000000002,-1.120302,9.841392,0.5,1.9,0.0,0.02
0.14,0.138,2026-05-21 16:59:17.606,-1.034955,-1.043784,9.81,-1.9,0.4,-0.7,0.02
0.16,0.159,2026-05-21 16:59:17.627,-1.0604609999999999,-1.06929,9.683451,-3.0,-1.3,-2.5,0.021
0.18,0.178,2026-05-21 16:59:17.646,-0.9957150000000001,-1.091853,9.665793,-1.3,-0.2,-2.6,0.019
0.2,0.198,2026-05-21 16:59:17.666,-0.9319500000000001,-1.132074,9.703071,1.3,0.0,-4.1,0.02
0.22,0.218,2026-05-21 16:59:17.686,-0.9093870000000001,-1.204668,9.707976,-0.4,0.4,-2.5,0.02
0.24,0.238,2026-05-21 16:59:17.706,-0.964323,-1.05948,9.705033,-2.4,0.4,0.5,0.02
0.26,0.257,2026-05-21 16:59:17.725,-1.005525,-1.121283,9.660888,-1.7,-1.5,-2.5,0.019
0.28,0.277,2026-05-21 16:59:17.745,-0.9191970000000002,-1.2841290000000003,9.46665,1.0,0.5,-5.3,0.02
0.3,0.297,2026-05-21 16:59:17.765,-0.8966340000000002,-1.2213450000000001,9.573579,2.2,1.8,-2.5,0.02
0.32,0.317,2026-05-21 16:59:17.785,-0.9525509999999999,-1.123245,9.583389,3.0,1.2,-0.7,0.02
0.34,0.336,2026-05-21 16:59:17.804,-0.998658,-1.013373,9.738387000000001,3.0,-1.0,0.7,0.019
0.36,0.356,2026-05-21 16:59:17.824,-0.9368550000000001,-0.9702090000000001,9.906138,0.5,-1.8,0.2,0.02
0.38,0.376,2026-05-21 16:59:17.844,-0.9290070000000001,-0.998658,9.887499,-1.4,-0.4,-0.3,0.02
0.4,0.395,2026-05-21 16:59:17.863,-0.9564750000000001,-0.983943,9.838448999999999,-2.2,-0.4,-1.3,0.019
0.42,0.415,2026-05-21 16:59:17.883,-0.8985960000000001,-1.075176,9.759969,-2.9,-1.0,-2.6,0.02
0.44,0.434,2026-05-21 16:59:17.902,-0.949608,-1.1183400000000001,9.658926000000001,-2.1,0.1,-1.7,0.019
0.46,0.455,2026-05-21 16:59:17.923,-0.967266,-1.21644,9.534339000000001,-1.4,0.0,-1.2,0.021
0.48,0.475,2026-05-21 16:59:17.943,-1.016316,-1.132074,9.508833,1.4,0.0,-0.3,0.02
0.5,0.494,2026-05-21 16:59:17.962,-1.062423,-1.0535940000000001,9.616743,2.7,-0.3,-0.4,0.019
0.52,0.514,2026-05-21 16:59:17.982,-1.009449,-1.0781190000000003,9.65304,3.4,0.0,-2.1,0.02
0.54,0.534,2026-05-21 16:59:18.002,-0.968247,-1.047708,9.689337,3.1,0.4,-2.0,0.02
0.56,0.554,2026-05-21 16:59:18.022,-0.9702090000000001,-1.045746,9.747216000000002,3.1,0.3,-0.6,0.02
0.58,0.574,2026-05-21 16:59:18.042,-1.009449,-1.02024,9.815885999999999,2.6,-0.3,-0.7,0.02
0.6,0.593,2026-05-21 16:59:18.061,-0.9790380000000001,-0.996696,9.861012,2.0,-0.2,-1.9,0.019
0.62,0.613,2026-05-21 16:59:18.081,-0.915273,-1.034955,9.892404,1.0,0.0,-2.7,0.02
0.64,0.633,2026-05-21 16:59:18.101,-0.897615,-1.031031,9.852183,-0.2,-0.5,-2.4,0.02
0.66,0.653,2026-05-21 16:59:18.121,-0.893691,-1.042803,9.777627,-0.8,-1.0,-1.2,0.02
