Accel_x	Accel_y	Accel_z	gyro_x	gyro_y	gyro_z
976.5	181.7	9.5	-0.9	-0.3	-2.3
976.3	182	9.6	-1	-0.2	-1.9
977.9	180.2	10.8	-0.4	-0.2	-2.4
974.2	183.3	17.9	-1.1	-0.7	-2.5
977.2	180.5	3.1	-0.8	-1.2	-2.4
973	184	6.1	-0.2	-0.2	-2.8
969.6	185.7	10.4	-1.2	-0.3	-2.7
981.4	184.8	12.8	-1.1	-0.1	-2.4
972.1	187.2	12.8	-0.4	-0.7	-2.3
976.4	190.9	14	0.2	-0.7	-1.7
974.2	190.9	8.1	0.5	-1.3	-0.5
973.7	183.9	4.8	0.9	-0.5	-0.6
977	180.5	3.2	1	-0.1	-0.7
974.4	175.7	7.2	0.4	0.5	-1.3
980.7	174.3	11.2	-0.4	0.2	-2.2
977.6	177.1	14.1	-0.7	0	-2.7
973.6	181.6	5.9	-0.1	-0.2	-2.8
973.2	181.8	5.6	0.1	0.9	-3.5
975.8	183.3	11.2	-0.9	1	-3.6
976.3	184.4	15.6	-1.2	1.1	-3.5
974.6	184.9	16.9	-0.7	0.3	-3.6
975.5	187.7	14.4	-0.5	0	-3.6
973.6	190.3	11.3	-0.6	0	-3.6
976.6	191.7	14.1	-0.9	0.4	-3.3
975.7	194.7	19.7	-0.8	0	-2.8
973.1	194.7	14.8	0	-0.8	-1.9
974.2	190.1	15.7	0.3	-0.4	-1.6
974.4	186.6	9.1	0	-0.5	-1.7
975.7	186.7	9.8	-0.1	0.4	-2.1
977.1	184.4	14	-0.4	0.3	-2.7
973.6	184.6	9.6	-0.3	0.3	-2.8
976.1	186.8	13.9	-0.3	0.8	-3.9
974.2	193.6	22.4	-1.5	0.2	-3.8
975.8	196.1	19.7	-1.3	0	-3.4
969.1	196.8	20.7	-0.5	-0.2	-3
977.9	197.2	17.3	-0.5	-0.3	-2.7
969.4	195.4	16.2	-0.8	-0.5	-2.1
976.9	193.1	19	-0.5	0	-2.3
974.4	194.5	21.4	-0.9	-0.7	-2.1
972.7	197.9	20.7	-0.8	-1	-1.8
973.1	198.6	14.5	0	-1	-1
970.3	197	17.8	0.3	-0.3	-1.1
977.2	189.6	15.2	0	-0.1	-0.8
974.3	190	22.3	-0.5	-0.2	-1.3
978.3	191.2	23.3	-0.6	-0.8	-1
971.5	190.4	24	-0.2	-1	-0.6
972	190.4	16.3	-0.2	-1.3	-1.2
974.4	192.6	15.5	-0.4	-1	-2
975.3	197.1	14	-0.9	-0.1	-1.1
