UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h
2026_06_10_18_04_38.616,3.872,26.3,0,0.754,3.793,5.03,18.12,0.95, ,0,0,0,0,0, ,-38,201.6,981.5,-0.7,-0.4,-1.7,25,-0.000127422,0.000676009,0.00329118,-2.35E-06,-1.34E-06,-5.70E-06
2026_06_10_18_04_38.636,3.862,26.3,0,0.761,3.892,5.114,18.9,0.95, ,0,0,0,0,0, ,-38.3,200.5,981.6,-0.7,-0.4,-1.7,25,-0.290978,-1.06586,0.10002,-2.20E-06,-1.26E-06,-5.35E-06
2026_06_10_18_04_38.656,3.862,26.4,0,0.762,0,0,0,0.029, ,0,0,0,0,0, ,-39.4,200.6,982.1,-0.8,-0.4,-1.7,25,-1.33973,-0.903946,0.578691,-0.0969552,-1.18E-06,-5.03E-06
2026_06_10_18_04_38.676,3.862,26.6,0,0.76,0,0,0,0.029, ,0,0,0,0,0, ,-38.6,199.5,982.6,-0.6,-0.3,-1.7,25,-0.482465,-1.91535,1.02819,0.102859,0.096952,-4.72E-06
2026_06_10_18_04_38.695,3.862,26.7,0,0.759,0,0,0,0.028, ,0,0,0,0,0, ,-39,202.2,981.9,-0.9,-0.5,-1.6,25,-0.840879,0.819096,0.286912,-0.194268,-0.102862,0.0969487
2026_06_10_18_04_38.716,3.862,26.8,0,0.759,0,0,0,0.027, ,0,0,0,0,0, ,-38.6,200.3,982.1,-0.3,-0.4,-1.6,25,-0.401824,-1.07292,0.463288,0.399289,0.000359044,0.0910409
2026_06_10_18_04_38.735,3.862,26.9,0,0.758,0,0,0,0.027, ,0,0,0,0,0, ,-38.2,200.6,981.5,-1,-0.4,-1.7,25,0.0104723,-0.716677,-0.146639,-0.303715,0.000337165,-0.01146
2026_06_10_18_04_38.755,3.862,26.9,0,0.755,0,0,0,0.026, ,0,0,0,0,0, ,-40.1,201,981.4,-0.4,-0.4,-1.7,25,-1.83227,-0.285198,-0.234633,0.296512,0.000316619,-0.0107617
2026_06_10_18_04_38.775,3.862,27,0,0.756,0,0,0,0.027, ,0,0,0,0,0, ,-38.4,200,981.9,-0.7,-0.4,-1.7,25,-0.0724187,-1.23735,0.264431,-0.0124164,0.000297325,-0.0101059
2026_06_10_18_04_38.794,3.862,27,0,0.756,0,0,0,0.026, ,0,0,0,0,0, ,-37.8,201,981.2,-0.8,-0.4,-1.6,25,0.513715,-0.192418,-0.430367,-0.108613,0.000279207,0.0874631
2026_06_10_18_04_38.815,3.862,27,0,0.756,0,0,0,0.026, ,0,0,0,0,0, ,-39.1,200.1,981.8,-0.5,-0.4,-1.7,25,-0.777979,-1.05326,0.177554,0.188865,0.000262193,-0.0148199
2026_06_10_18_04_38.834,3.862,27,0,0.756,0,0,0,0.027, ,0,0,0,0,0, ,-38.4,200.4,982,-0.8,-0.4,-1.7,25,-0.0519021,-0.698234,0.360652,-0.113503,0.000246215,-0.0139168
