UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_06_11_13_53_36.129,0.000000,0.98739910,0.15695314,0.01996589,-0.00317370,0.99918258,0.01253484,0.03843236,-0.00000000,0.95071125,-0.31007749,-0.04042485,0.30982405,0.94993412,18.065233,-2.202717,0.718796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_11_13_53_36.149,0.020000,0.98739910,0.15695314,0.01996589,-0.00317370,0.99918258,0.01253484,0.03843236,-0.00000000,0.95071125,-0.31007749,-0.04042485,0.30982405,0.94993412,18.065233,-2.202717,0.718796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_11_13_53_36.169,0.040000,0.98741585,0.15684515,0.01994017,-0.00345910,0.99918085,0.01308619,0.03829339,-0.00057611,0.95077527,-0.30988073,-0.04046357,0.30960482,0.95000398,18.052038,-2.194748,0.750410,0.001268,0.002401,9.818376,0.000522,0.007989,0.016761
2026_06_11_13_53_36.189,0.060000,0.98743200,0.15674050,0.01991407,-0.00374415,0.99917883,0.01363687,0.03815386,-0.00115150,0.95083678,-0.30969030,-0.04050130,0.30939204,0.95007169,18.039232,-2.186747,0.781986,0.001978,0.005046,9.818375,0.001226,0.010510,0.015970
2026_06_11_13_53_36.208,0.080000,0.98744744,0.15663917,0.01988746,-0.00402883,0.99917650,0.01418682,0.03801350,-0.00172620,0.95089591,-0.30950615,-0.04053779,0.30918565,0.95013732,18.026814,-2.178698,0.813520,0.002779,0.007710,9.818405,0.002017,0.013062,0.015206
2026_06_11_13_53_36.228,0.100000,0.98746234,0.15654153,0.01985975,-0.00431322,0.99917400,0.01473603,0.03787111,-0.00230053,0.95095229,-0.30932906,-0.04057190,0.30898640,0.95020068,18.014824,-2.170533,0.845011,0.003454,0.010235,9.817954,0.002699,0.015332,0.014025
2026_06_11_13_53_36.248,0.120000,0.98747653,0.15644725,0.01983080,-0.00459731,0.99917120,0.01528442,0.03772642,-0.00287453,0.95100623,-0.30915830,-0.04060337,0.30879363,0.95026201,18.003223,-2.162237,0.876455,0.004108,0.012181,9.817372,0.003364,0.017011,0.012897
2026_06_11_13_53_36.267,0.140000,0.98749036,0.15635535,0.01980121,-0.00488173,0.99916816,0.01583338,0.03758045,-0.00344928,0.95105833,-0.30899212,-0.04063359,0.30860546,0.95032185,17.991899,-2.153867,0.907932,0.004538,0.013754,9.817262,0.003785,0.018480,0.012324
2026_06_11_13_53_36.288,0.160000,0.98750371,0.15626571,0.01977177,-0.00516658,0.99916476,0.01638333,0.03743466,-0.00402474,0.95110869,-0.30883023,-0.04066410,0.30842164,0.95038021,17.980841,-2.145508,0.939466,0.004494,0.015420,9.817307,0.003725,0.020077,0.011853
2026_06_11_13_53_36.307,0.180000,0.98751634,0.15617959,0.01974172,-0.00545119,0.99916112,0.01693280,0.03728782,-0.00459978,0.95115644,-0.30867502,-0.04069328,0.30824456,0.95043641,17.970186,-2.137088,0.970971,0.004746,0.017102,9.817016,0.003971,0.021591,0.011070
2026_06_11_13_53_36.327,0.200000,0.98752844,0.15609702,0.01971096,-0.00573558,0.99915719,0.01748174,0.03713965,-0.00517445,0.95120162,-0.30852661,-0.04072088,0.30807438,0.95049042,17.959948,-2.128592,1.002446,0.005208,0.018815,9.817017,0.004414,0.023231,0.010562
2026_06_11_13_53_36.346,0.220000,0.98754007,0.15601635,0.01967949,-0.00601978,0.99915296,0.01803019,0.03699021,-0.00574890,0.95124531,-0.30838171,-0.04074694,0.30790785,0.95054322,17.949928,-2.120023,1.033893,0.005870,0.020204,9.817415,0.005040,0.024687,0.010541
2026_06_11_13_53_36.367,0.240000,0.98755133,0.15593812,0.01964688,-0.00630371,0.99914855,0.01857786,0.03683862,-0.00632307,0.95128715,-0.30824149,-0.04077058,0.30774611,0.95059460,17.940197,-2.111331,1.065296,0.006811,0.021757,9.817653,0.005948,0.026255,0.010324
2026_06_11_13_53_36.387,0.260000,0.98756212,0.15586242,0.01961321,-0.00658738,0.99914384,0.01912482,0.03668507,-0.00689697,0.95132703,-0.30810603,-0.04079197,0.30758926,0.95064443,17.930759,-2.102526,1.096657,0.007656,0.023293,9.817791,0.006763,0.027778,0.010016
2026_06_11_13_53_36.406,0.280000,0.98757261,0.15578751,0.01957910,-0.00687145,0.99913889,0.01967248,0.03653060,-0.00747176,0.95136607,-0.30797204,-0.04081254,0.30743387,0.95069385,17.921408,-2.093669,1.128059,0.008441,0.024529,9.818330,0.007503,0.029137,0.010179
2026_06_11_13_53_36.426,0.300000,0.98758316,0.15571228,0.01954460,-0.00715641,0.99913359,0.02022177,0.03637515,-0.00804843,0.95140493,-0.30783737,-0.04083251,0.30727792,0.95074338,17.912024,-2.084756,1.159554,0.009528,0.025895,9.819076,0.008533,0.030691,0.010510
2026_06_11_13_53_36.446,0.320000,0.98759341,0.15563864,0.01950947,-0.00744161,0.99912798,0.02077142,0.03621845,-0.00862571,0.95144248,-0.30770576,-0.04085126,0.30712503,0.95079201,17.902822,-2.075771,1.191070,0.010295,0.027600,9.819273,0.009261,0.032392,0.010203
2026_06_11_13_53_36.465,0.340000,0.98760307,0.15556811,0.01947337,-0.00772645,0.99912220,0.02132020,0.03605993,-0.00920246,0.95147771,-0.30757999,-0.04086789,0.30697817,0.95083869,17.893986,-2.066682,1.222535,0.010935,0.029222,9.819110,0.009876,0.033903,0.009577
2026_06_11_13_53_36.485,0.360000,0.98761225,0.15549956,0.01943598,-0.00801089,0.99911612,0.02186788,0.03589904,-0.00977873,0.95151144,-0.30745795,-0.04088181,0.30683514,0.95088428,17.885378,-2.057457,1.253937,0.011849,0.030435,9.818985,0.010765,0.035043,0.009120
2026_06_11_13_53_36.506,0.380000,0.98762131,0.15543230,0.01939748,-0.00829515,0.99910986,0.02241492,0.03573606,-0.01035494,0.95154399,-0.30733830,-0.04089340,0.30669469,0.95092911,17.876923,-2.048112,1.285304,0.012468,0.031783,9.819113,0.011346,0.036383,0.008852
2026_06_11_13_53_36.525,0.400000,0.98762989,0.15536729,0.01935836,-0.00857982,0.99910331,0.02296269,0.03557174,-0.01093206,0.95157480,-0.30722293,-0.04090383,0.30655858,0.95097250,17.868731,-2.038691,1.316711,0.012720,0.033396,9.819185,0.011559,0.037952,0.008437
2026_06_11_13_53_36.545,0.420000,0.98763782,0.15530537,0.01931885,-0.00886472,0.99909639,0.02351091,0.03540658,-0.01150962,0.95160329,-0.30711344,-0.04091354,0.30642840,0.95101404,17.860893,-2.029221,1.348145,0.012983,0.035064,9.819043,0.011788,0.039508,0.007801
