UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_06_11_13_53_36.129,0,25,0,0.754,0,0,0,0.04, ,0,0,0,0,0, ,-40.5,310.4,951.7,-0.6,-0.4,-1.6,25,-40.4999,310.399,951.697,-0.599998,-0.399999,-1.59999,
2026_06_11_13_53_36.149,0,25,0,0.754,0,0,0,0.041, ,0,0,0,0,0, ,-39.5,310.6,952.3,-0.5,-0.4,-1.7,25,-40.4694,310.405,951.715,-0.596951,-0.399999,-1.60304,
2026_06_11_13_53_36.169,0,25,0,0.757,0,0,0,0.041, ,0,0,0,0,0, ,-39.5,310.7,951.1,-0.6,-0.4,-1.6,25,-40.4103,310.42,951.714,-0.59409,-0.399999,-1.6059,
2026_06_11_13_53_36.189,0,25,0,0.754,0,0,0,0.042, ,0,0,0,0,0, ,-40.2,311.6,951.9,-0.6,-0.3,-1.6,25,-40.3762,310.465,951.701,-0.59445,-0.396952,-1.60554,
2026_06_11_13_53_36.208,0,25,0,0.753,0,0,0,0.042, ,0,0,0,0,0, ,-39.1,311.1,951.1,-0.6,-0.4,-1.6,25,-40.3319,310.518,951.689,-0.594788,-0.394091,-1.60521,
2026_06_11_13_53_36.228,0,25,0,0.754,0,0,0,0.043, ,0,0,0,0,0, ,-40.4,311,950.4,-0.6,-0.4,-1.6,25,-40.2965,310.551,951.632,-0.595106,-0.394451,-1.60489,
2026_06_11_13_53_36.248,0,25,0,0.754,0,0,0,0.043, ,0,0,0,0,0, ,-39,309.4,951.1,-0.6,-0.4,-1.6,25,-40.2601,310.529,951.578,-0.595404,-0.394789,-1.60459,
2026_06_11_13_53_36.267,0,25.1,0,0.755,0,0,0,0.044, ,0,0,0,0,0, ,-41.1,310.4,952.1,-0.6,-0.4,-1.7,25,-40.2473,310.491,951.579,-0.595684,-0.395107,-1.60736,
2026_06_11_13_53_36.288,0,25,0,0.755,0,0,0,0.043, ,0,0,0,0,0, ,-40.6,309.9,951.4,-0.6,-0.4,-1.6,25,-40.284,310.47,951.59,-0.595947,-0.395405,-1.60996,
2026_06_11_13_53_36.307,0,25,0,0.754,0,0,0,0.044, ,0,0,0,0,0, ,-40.1,310.3,951,-0.5,-0.4,-1.6,25,-40.2881,310.448,951.566,-0.593147,-0.395685,-1.60935,
2026_06_11_13_53_36.327,0,25.1,0,0.757,0,0,0,0.045, ,0,0,0,0,0, ,-39.9,310.5,952.2,-0.5,-0.4,-1.6,25,-40.2705,310.445,951.568,-0.587471,-0.395948,-1.60878,
