UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_06_10_18_10_17.073,3.874,27.7,0,0.758,3.816,5.034,18.24,0.95, ,0,0,0,0,0, ,-35.4,33.8,1005.7,-0.6,-0.4,-1.7,25,-35.3999,33.7999,1005.7,-0.599998,-0.399999,-1.69999,
2026_06_10_18_10_17.093,3.861,27.6,0,0.759,3.878,5.109,18.82,0.95, ,0,0,0,0,0, ,-36.4,33,1003,-0.5,-0.4,-1.6,25,-35.4304,33.7755,1005.61,-0.596951,-0.399999,-1.69695,
2026_06_10_18_10_17.112,3.861,27.7,0,0.76,0,0,0,0.019, ,0,0,0,0,0, ,-34.6,31.8,1002.3,-0.6,-0.4,-1.7,25,-35.4346,33.6917,1005.43,-0.59409,-0.399999,-1.69409,
2026_06_10_18_10_17.132,3.861,27.9,0,0.76,0,0,0,0.019, ,0,0,0,0,0, ,-34.5,33.6,1002.3,-0.5,-0.4,-1.7,25,-35.3807,33.6313,1005.24,-0.591403,-0.399999,-1.69445,
2026_06_10_18_10_17.152,3.861,28,0,0.76,0,0,0,0.017, ,0,0,0,0,0, ,-34.4,32.8,1002.5,-0.6,-0.5,-1.6,25,-35.324,33.605,1005.07,-0.58888,-0.403046,-1.69174,
2026_06_10_18_10_17.172,3.861,28.2,0,0.76,0,0,0,0.016, ,0,0,0,0,0, ,-33.9,33.2,1004.7,-0.6,-0.5,-1.6,25,-35.2524,33.5681,1004.98,-0.589558,-0.408954,-1.68615,
2026_06_10_18_10_17.192,3.861,28.2,0,0.761,0,0,0,0.015, ,0,0,0,0,0, ,-35,33.4,1002.1,-0.5,-0.5,-1.7,25,-35.2035,33.5518,1004.88,-0.587147,-0.414502,-1.68395,
2026_06_10_18_10_17.211,3.861,28.3,0,0.76,0,0,0,0.015, ,0,0,0,0,0, ,-34.9,33,1003.9,-0.6,-0.4,-1.7,25,-35.1881,33.5303,1004.77,-0.584884,-0.416665,-1.68492,
2026_06_10_18_10_17.232,3.861,28.3,0,0.759,0,0,0,0.015, ,0,0,0,0,0, ,-34.3,34.1,1002.6,-0.6,-0.4,-1.7,25,-35.1523,33.5315,1004.68,-0.585805,-0.41565,-1.68584,
2026_06_10_18_10_17.251,3.861,28.4,0,0.76,0,0,0,0.015, ,0,0,0,0,0, ,-35.4,34,1002.1,-0.6,-0.4,-1.7,25,-35.1338,33.5631,1004.53,-0.58667,-0.414696,-1.68671,
2026_06_10_18_10_17.271,3.861,28.4,0,0.76,0,0,0,0.014, ,0,0,0,0,0, ,-35.6,34.1,1002.5,-0.5,-0.4,-1.6,25,-35.1562,33.5928,1004.4,-0.584435,-0.413801,-1.68447,
2026_06_10_18_10_17.291,3.861,28.4,0,0.76,0,0,0,0.014, ,0,0,0,0,0, ,-35.1,33.6,1003,-0.6,-0.4,-1.7,25,-35.168,33.6085,1004.3,-0.582337,-0.41296,-1.68237,
2026_06_10_18_10_17.310,3.861,28.5,0,0.758,0,0,0,0.014, ,0,0,0,0,0, ,-34.4,32.1,1003.6,-0.6,-0.4,-1.6,25,-35.1425,33.5623,1004.24,-0.583413,-0.41217,-1.6804,
2026_06_10_18_10_17.330,3.861,28.5,0,0.759,0,0,0,0.014, ,0,0,0,0,0, ,-34.4,34,1002.3,-0.6,-0.5,-1.7,25,-35.0972,33.531,1004.16,-0.584424,-0.414475,-1.67854,
