UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_06_10_18_16_02.360,3.863,28.6,0,0.755,0,0,0,0.01, ,0,0,0,0,0, ,812.6,463.2,343,-0.2,-0.6,-4.8,25,812.597,463.198,342.999,-0.199999,-0.599998,-4.79998,
2026_06_10_18_16_02.379,3.863,28.5,0,0.756,0,0,0,0.011, ,0,0,0,0,0, ,810.7,467.6,344.2,-1.3,-2.3,-4.6,25,812.54,463.333,343.035,-0.233515,-0.651795,-4.79389,
2026_06_10_18_16_02.399,3.863,28.5,0,0.758,0,0,0,0.012, ,0,0,0,0,0, ,812.7,466.3,333.2,0,-2,-3.8,25,812.488,463.553,342.771,-0.258895,-0.743092,-4.7577,
2026_06_10_18_16_02.419,3.863,28.4,0,0.757,0,0,0,0.012, ,0,0,0,0,0, ,810.5,465.4,339.2,-0.3,-2.3,-4.3,25,812.434,463.693,342.371,-0.252259,-0.828825,-4.71458,
2026_06_10_18_16_02.439,3.863,28.6,0,0.757,0,0,0,0.013, ,0,0,0,0,0, ,813.9,467.5,332,-0.9,-2.3,-4.1,25,812.42,463.861,341.958,-0.273449,-0.918475,-4.68322,
2026_06_10_18_16_02.459,3.863,28.5,0,0.755,0,0,0,0.012, ,0,0,0,0,0, ,811.1,470.7,336.4,0,-1.9,-3.8,25,812.425,464.18,341.485,-0.284208,-0.990474,-4.63854,
2026_06_10_18_16_02.479,3.863,28.5,0,0.757,0,0,0,0.013, ,0,0,0,0,0, ,812.3,469.6,333.1,0.5,-1.9,-3.5,25,812.381,464.544,341.075,-0.251655,-1.0459,-4.5783,
2026_06_10_18_16_02.499,3.863,28.4,0,0.758,0,0,0,0.013, ,0,0,0,0,0, ,812.2,468.8,332.5,0.1,-1.8,-3.6,25,812.373,464.828,340.571,-0.218038,-1.0949,-4.51564,
2026_06_10_18_16_02.519,3.863,28.5,0,0.757,0,0,0,0.014, ,0,0,0,0,0, ,810.3,468.6,336,0.4,-1.9,-3.5,25,812.304,465.064,340.186,-0.189517,-1.14091,-4.45679,
2026_06_10_18_16_02.539,3.863,28.6,0,0.758,0,0,0,0.013, ,0,0,0,0,0, ,811.4,471.9,331.9,-0.4,-2.3,-3.9,25,812.216,465.38,339.806,-0.177968,-1.19936,-4.41068,
2026_06_10_18_16_02.559,3.863,28.5,0,0.758,0,0,0,0.012, ,0,0,0,0,0, ,811,471.3,332.6,-0.2,-2.1,-3.4,25,812.154,465.759,339.345,-0.185405,-1.26033,-4.36432,
2026_06_10_18_16_02.578,3.863,28.6,0,0.758,0,0,0,0.013, ,0,0,0,0,0, ,810.3,471.8,330.6,0,-2.4,-3.2,25,812.062,466.112,338.873,-0.1802,-1.32064,-4.29947,
2026_06_10_18_16_02.598,3.863,28.5,0,0.758,0,0,0,0.013, ,0,0,0,0,0, ,812.7,468.1,327.2,0.3,-2.1,-3.6,25,812.028,466.346,338.265,-0.160079,-1.37727,-4.24465,
2026_06_10_18_16_02.617,3.863,28.4,0,0.757,0,0,0,0.014, ,0,0,0,0,0, ,810.7,474.8,324.8,1.1,-1,-3.9,25,812.008,466.657,337.518,-0.107668,-1.3878,-4.21451,
2026_06_10_18_16_02.637,3.863,28.4,0,0.759,0,0,0,0.015, ,0,0,0,0,0, ,809.2,481.5,330.2,0.2,-0.6,-3.3,25,811.883,467.357,336.908,-0.0614973,-1.35198,-4.17706,
2026_06_10_18_16_02.657,3.863,28.5,0,0.757,0,0,0,0.015, ,0,0,0,0,0, ,810.3,479.1,330.8,-0.6,-0.9,-2.1,25,811.753,468.146,336.517,-0.0699373,-1.3153,-4.08706,
2026_06_10_18_16_02.677,3.863,28.6,0,0.758,0,0,0,0.014, ,0,0,0,0,0, ,810.6,474.8,331.4,-1.1,-1,-2,25,811.673,468.682,336.187,-0.117472,-1.29304,-3.96292,
2026_06_10_18_16_02.697,3.863,28.5,0,0.759,0,0,0,0.013, ,0,0,0,0,0, ,810.7,468.6,326.2,-1.2,-0.8,-2.2,25,811.611,468.866,335.737,-0.180392,-1.26909,-3.8494,
2026_06_10_18_16_02.717,3.863,28.5,0,0.757,0,0,0,0.014, ,0,0,0,0,0, ,810.7,478.5,329.5,-0.2,-0.2,-2.3,25,811.555,469.152,335.256,-0.212056,-1.22222,-3.75194,
2026_06_10_18_16_02.736,3.863,28.6,0,0.759,0,0,0,0.014, ,0,0,0,0,0, ,809.4,476.4,338.1,-0.5,-1,-2.3,25,811.464,469.657,335.168,-0.220462,-1.1843,-3.66346,
2026_06_10_18_16_02.756,3.863,28.5,0,0.757,0,0,0,0.014, ,0,0,0,0,0, ,809,477.4,326.9,-0.3,-1.6,-1.8,25,811.326,470.099,335.005,-0.231402,-1.19135,-3.56514,
2026_06_10_18_16_02.776,3.863,28.5,0,0.757,0,0,0,0.015, ,0,0,0,0,0, ,809.2,480.9,331.2,-0.6,-1.7,-1.3,25,811.19,470.65,334.642,-0.244723,-1.2193,-3.44234,
2026_06_10_18_16_02.796,3.863,28.5,0,0.757,0,0,0,0.015, ,0,0,0,0,0, ,810.9,477.6,321.6,-1.3,-1.4,-0.7,25,811.121,471.174,334.14,-0.287701,-1.23945,-3.29351,
2026_06_10_18_16_02.816,3.863,28.6,0,0.758,0,0,0,0.015, ,0,0,0,0,0, ,812.8,468.3,321.6,-1.5,0,-1.2,25,811.165,471.282,333.376,-0.355482,-1.20658,-3.1507,
2026_06_10_18_16_02.836,3.863,28.5,0,0.758,0,0,0,0.014, ,0,0,0,0,0, ,810.3,474.4,325.4,-1,0.7,-1.7,25,811.188,471.287,332.774,-0.409991,-1.11173,-3.04707,
2026_06_10_18_16_02.856,3.863,28.6,0,0.758,0,0,0,0.015, ,0,0,0,0,0, ,809.9,473.1,332.5,-0.3,0.9,-1.8,25,811.122,471.437,332.541,-0.424617,-0.995231,-2.96803,
