UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_06_10_18_15_44.964,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_44.984,0.020000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.004,0.040000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.024,0.060000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.044,0.080000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.063,0.100000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.084,0.120000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.104,0.140000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.123,0.160000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.143,0.180000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.163,0.200000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.183,0.220000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.203,0.240000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.222,0.260000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.242,0.280000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.261,0.300000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.282,0.320000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.301,0.340000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.322,0.360000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.342,0.380000,0.70754945,0.13927646,-0.67975867,0.13380602,0.04004824,-0.37869751,-0.92465371,0.00000000,0.92539603,-0.37900156,0.99919778,0.01517837,0.03706044,22.273544,67.621178,-83.969444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_10_18_15_45.361,0.400000,0.70754790,0.13940579,-0.67978561,0.13354227,0.04011601,-0.37850720,-0.92472863,-0.00055699,0.92546499,-0.37883276,0.99919486,0.01571231,0.03691512,23.057917,67.632454,-83.956284,11.844604,-9.510872,9727.077148,9728.789063,143.262283,351.364624
2026_06_10_18_15_45.380,0.420000,0.70754749,0.13953581,-0.67981142,0.13327739,0.04018712,-0.37831622,-0.92480379,-0.00111593,0.92553377,-0.37866342,0.99919170,0.01624946,0.03677237,23.842068,67.643768,-83.942604,12.507782,-14.882507,9727.247070,9728.963867,143.266739,351.401581
2026_06_10_18_15_45.401,0.440000,0.70754755,0.13966656,-0.67983645,0.13301207,0.04026037,-0.37812555,-0.92487854,-0.00167610,0.92560208,-0.37849438,0.99918789,0.01678856,0.03663129,24.624367,67.655029,-83.928589,12.870789,-19.531326,9727.653320,9729.366211,144.077026,351.466217
2026_06_10_18_15_45.420,0.460000,0.70754802,0.13979763,-0.67986089,0.13274674,0.04033494,-0.37793526,-0.92495310,-0.00223649,0.92566985,-0.37832570,0.99918377,0.01732844,0.03649157,25.403112,67.666267,-83.914375,13.171143,-24.688408,9728.154297,9729.864258,144.449661,351.795746
2026_06_10_18_15_45.440,0.480000,0.70754927,0.13992819,-0.67988455,0.13248149,0.04041135,-0.37774438,-0.92502785,-0.00279568,0.92573750,-0.37815642,0.99917948,0.01786795,0.03635424,26.175844,67.677536,-83.899864,13.354431,-30.063118,9728.033203,9729.734375,144.650192,352.314240
2026_06_10_18_15_45.460,0.500000,0.70755029,0.14005768,-0.67990828,0.13221689,0.04048687,-0.37755293,-0.92510259,-0.00335257,0.92580509,-0.37798643,0.99917459,0.01840501,0.03621715,26.940968,67.688812,-83.885460,13.717804,-35.158272,9727.934570,9729.642578,145.017548,352.562347
2026_06_10_18_15_45.479,0.520000,0.70755011,0.14018714,-0.67993313,0.13195270,0.04055882,-0.37736207,-0.92517740,-0.00390947,0.92587209,-0.37781689,0.99916965,0.01894084,0.03607702,27.702009,67.700104,-83.871582,14.821198,-40.741623,9728.109375,9729.854492,144.645798,352.287842
2026_06_10_18_15_45.499,0.540000,0.70754892,0.14031689,-0.67995888,0.13168776,0.04062849,-0.37717050,-0.92525232,-0.00446837,0.92593902,-0.37764665,0.99916434,0.01947761,0.03593421,28.461346,67.711418,-83.858032,16.669525,-46.778831,9728.141602,9729.964844,143.579971,351.462860
2026_06_10_18_15_45.519,0.560000,0.70754796,0.14044599,-0.67998463,0.13142237,0.04069811,-0.37697750,-0.92532802,-0.00502697,0.92600620,-0.37747493,0.99915898,0.02001417,0.03579164,29.215443,67.722855,-83.844444,18.289734,-52.598358,9727.638672,9729.531250,142.787979,350.747894
2026_06_10_18_15_45.539,0.580000,0.70754772,0.14057432,-0.68000948,0.13115741,0.04076970,-0.37678400,-0.92540359,-0.00558349,0.92607319,-0.37730265,0.99915302,0.02054951,0.03565192,29.961039,67.734283,-83.830544,18.901367,-58.374802,9727.048828,9728.974609,142.402466,350.972382
2026_06_10_18_15_45.560,0.600000,0.70754701,0.14070219,-0.68003470,0.13089341,0.04083943,-0.37659121,-0.92547905,-0.00613825,0.92613959,-0.37713093,0.99914706,0.02108271,0.03551137,30.699402,67.745689,-83.816917,19.324432,-64.255898,9727.064453,9729.017578,141.980621,351.422150
2026_06_10_18_15_45.578,0.620000,0.70754457,0.14082943,-0.68006140,0.13063042,0.04090440,-0.37639901,-0.92555428,-0.00669163,0.92620552,-0.37695962,0.99914074,0.02161278,0.03536713,31.431328,67.757072,-83.804008,20.336426,-70.004799,9727.316406,9729.328125,141.435089,351.247467
2026_06_10_18_15_45.599,0.640000,0.70754027,0.14095618,-0.68008995,0.13036834,0.04096353,-0.37620747,-0.92562962,-0.00724407,0.92627090,-0.37678874,0.99913454,0.02213997,0.03521806,32.158047,67.768478,-83.791977,22.384918,-75.389107,9727.357422,9729.470703,140.803268,349.919037
2026_06_10_18_15_45.619,0.660000,0.70753545,0.14108260,-0.68011898,0.13010620,0.04102111,-0.37601539,-0.92570513,-0.00779641,0.92633617,-0.37661725,0.99912804,0.02266650,0.03506780,32.879520,67.779915,-83.780151,25.569519,-80.515030,9727.102539,9729.366211,139.970963,347.417542
2026_06_10_18_15_45.638,0.680000,0.70753217,0.14120905,-0.68014640,0.12984288,0.04108340,-0.37582168,-0.92578095,-0.00834963,0.92640167,-0.37644422,0.99912089,0.02319556,0.03492177,33.595188,67.791405,-83.767586,27.511230,-85.344406,9726.842773,9729.206055,139.905884,345.994171
2026_06_10_18_15_45.658,0.700000,0.70753038,0.14133519,-0.68017238,0.12957884,0.04114968,-0.37562650,-0.92585713,-0.00890265,0.92646736,-0.37626979,0.99911338,0.02372599,0.03477979,34.303452,67.802956,-83.754379,27.426697,-90.072807,9726.678711,9729.057617,140.710571,346.449158
2026_06_10_18_15_45.679,0.720000,0.70752865,0.14146091,-0.68019831,0.12931503,0.04121578,-0.37543112,-0.92593354,-0.00945476,0.92653286,-0.37609506,0.99910563,0.02425556,0.03463817,35.004414,67.814545,-83.741180,27.355469,-95.480156,9726.394531,9728.798828,140.868942,347.145233
2026_06_10_18_15_45.698,0.740000,0.70752650,0.14158592,-0.68022448,0.12905172,0.04128063,-0.37523544,-0.92600989,-0.01000540,0.92659819,-0.37591985,0.99909747,0.02478331,0.03449619,35.697468,67.826126,-83.728157,28.419891,-101.287422,9726.071289,9728.555664,140.211349,346.933044
