UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_06_10_18_15_44.964,3.861,24.9,0,0.755,0,0,0,0.04, ,0,0,0,0,0, ,991.5,16.1,38,-0.5,-0.5,-1.5,25,991.497,16.0999,37.9999,-0.499998,-0.499998,-1.49999,
2026_06_10_18_15_44.984,3.861,24.9,0,0.755,0,0,0,0.042, ,0,0,0,0,0, ,992.4,13.5,34.6,-0.5,-0.6,-1.4,25,991.524,16.0207,37.8963,-0.499998,-0.503045,-1.49695,
2026_06_10_18_15_45.004,3.861,24.9,0,0.755,0,0,0,0.042, ,0,0,0,0,0, ,992.3,11.7,33.2,-0.5,-0.6,-1.4,25,991.575,15.8123,37.6528,-0.499999,-0.508953,-1.49104,
2026_06_10_18_15_45.024,3.861,25,0,0.753,0,0,0,0.042, ,0,0,0,0,0, ,991.3,11.1,32.1,-0.6,-0.2,-1.6,25,991.588,15.5434,37.3479,-0.503045,-0.502314,-1.49159,
2026_06_10_18_15_45.044,3.861,25,0,0.755,0,0,0,0.042, ,0,0,0,0,0, ,992.3,12.9,34.9,-0.6,-0.1,-1.8,25,991.601,15.3275,37.1134,-0.508954,-0.480845,-1.50429,
2026_06_10_18_15_45.063,3.861,25,0,0.756,0,0,0,0.043, ,0,0,0,0,0, ,991.9,15.1,36,-0.5,-0.3,-1.8,25,991.632,15.2466,37.0121,-0.511455,-0.463731,-1.52231,
2026_06_10_18_15_45.084,3.861,25,0,0.755,0,0,0,0.043, ,0,0,0,0,0, ,992.9,14.1,35.1,-0.5,-0.3,-1.7,25,991.678,15.2072,36.923,-0.510757,-0.453754,-1.53618,
2026_06_10_18_15_45.104,3.861,25,0,0.754,0,0,0,0.044, ,0,0,0,0,0, ,992.9,13.5,34.7,-0.5,-0.3,-1.6,25,991.753,15.1214,36.7997,-0.510101,-0.444384,-1.54312,
2026_06_10_18_15_45.123,3.861,25.1,0,0.755,0,0,0,0.044, ,0,0,0,0,0, ,991.2,13,35.2,-0.6,-0.2,-1.7,25,991.771,15.0074,36.687,-0.512533,-0.432539,-1.54963,
2026_06_10_18_15_45.143,3.861,25.1,0,0.755,0,0,0,0.044, ,0,0,0,0,0, ,991.5,14,36.4,-0.5,-0.2,-1.8,25,991.745,14.9155,36.6329,-0.514816,-0.418369,-1.56184,
2026_06_10_18_15_45.163,3.861,25.1,0,0.756,0,0,0,0.044, ,0,0,0,0,0, ,990.8,16.4,36.4,-0.5,-0.5,-1.5,25,991.709,14.9329,36.6187,-0.513913,-0.414202,-1.56721,
2026_06_10_18_15_45.183,3.861,25,0,0.755,0,0,0,0.045, ,0,0,0,0,0, ,991.5,16.3,36.9,-0.6,-0.7,-1.3,25,991.675,15.0192,36.6206,-0.516112,-0.425524,-1.55702,
2026_06_10_18_15_45.203,3.861,25.1,0,0.754,0,0,0,0.046, ,0,0,0,0,0, ,992.3,12.2,34.7,-0.5,-0.6,-1.2,25,991.689,14.9724,36.5706,-0.518177,-0.439203,-1.53831,
2026_06_10_18_15_45.222,3.861,25.1,0,0.756,0,0,0,0.046, ,0,0,0,0,0, ,991.2,12.5,34.7,-0.6,-0.3,-1.7,25,991.692,14.8126,36.4566,-0.520116,-0.439861,-1.53293,
2026_06_10_18_15_45.242,3.861,25.2,0,0.756,0,0,0,0.046, ,0,0,0,0,0, ,990.7,14,35.7,-0.6,-0.4,-1.7,25,991.647,14.7173,36.3801,-0.524984,-0.434385,-1.54311,
2026_06_10_18_15_45.261,3.861,25.2,0,0.755,0,0,0,0.046, ,0,0,0,0,0, ,991.3,14.8,36.7,-0.5,-0.4,-1.5,25,991.608,14.698,36.3691,-0.526509,-0.43229,-1.54658,
2026_06_10_18_15_45.282,3.861,25.2,0,0.754,0,0,0,0.046, ,0,0,0,0,0, ,992.3,12.4,34.3,-0.5,-0.4,-1.6,25,991.619,14.6311,36.3161,-0.524893,-0.430322,-1.54679,
2026_06_10_18_15_45.301,3.861,25.3,0,0.755,0,0,0,0.047, ,0,0,0,0,0, ,992.7,12.6,34.4,-0.5,-0.6,-1.5,25,991.673,14.5012,36.1963,-0.523376,-0.434568,-1.54698,
2026_06_10_18_15_45.322,3.861,25.2,0,0.756,0,0,0,0.046, ,0,0,0,0,0, ,992.4,12.6,33.9,-0.5,-0.4,-1.6,25,991.727,14.3854,36.0716,-0.521952,-0.438556,-1.54717,
2026_06_10_18_15_45.342,3.861,25.2,0,0.755,0,0,0,0.048, ,0,0,0,0,0, ,992.6,13.5,34.3,-0.5,-0.3,-1.5,25,991.774,14.304,35.9515,-0.520614,-0.433159,-1.54734,
2026_06_10_18_15_45.361,3.861,25.3,0,0.755,0,0,0,0.048, ,0,0,0,0,0, ,992.1,13,35.6,-0.6,-0.3,-1.7,25,991.809,14.2398,35.8904,-0.522405,-0.425045,-1.55055,
2026_06_10_18_15_45.380,3.861,25.3,0,0.756,0,0,0,0.048, ,0,0,0,0,0, ,992.1,15.5,36.3,-0.5,-0.3,-1.7,25,991.827,14.2404,35.8941,-0.524086,-0.417425,-1.55966,
2026_06_10_18_15_45.401,3.861,25.4,0,0.754,0,0,0,0.048, ,0,0,0,0,0, ,992.9,15.7,35.7,-0.5,-0.4,-1.6,25,991.868,14.3232,35.9005,-0.522619,-0.413316,-1.56516,
2026_06_10_18_15_45.420,3.861,25.4,0,0.755,0,0,0,0.048, ,0,0,0,0,0, ,992.5,14.2,37.2,-0.5,-0.3,-1.6,25,991.918,14.3614,35.934,-0.52124,-0.409458,-1.56728,
2026_06_10_18_15_45.440,3.861,25.3,0,0.756,0,0,0,0.049, ,0,0,0,0,0, ,990.9,15.2,36.4,-0.6,-0.3,-1.5,25,991.905,14.3821,35.9868,-0.522993,-0.402788,-1.56623,
2026_06_10_18_15_45.460,3.865,25.4,0,0.754,3.912,5.188,1.01,0.05, ,0,0,0,0,0, ,992.6,14.8,36.4,-0.5,-0.5,-1.4,25,991.896,14.4197,36.012,-0.524639,-0.402618,-1.55915,
2026_06_10_18_15_45.479,3.865,25.3,0,0.754,0,0,0,0.049, ,0,0,0,0,0, ,991.9,12.8,34.7,-0.5,-0.6,-1.6,25,991.917,14.382,35.9838,-0.523137,-0.411599,-1.55554,
2026_06_10_18_15_45.499,3.865,25.5,0,0.755,3.916,5.186,1.03,0.051, ,0,0,0,0,0, ,992.3,12.4,34.5,-0.6,-0.5,-1.6,25,991.928,14.2734,35.8995,-0.524774,-0.420033,-1.55825,
2026_06_10_18_15_45.519,3.863,25.5,0,0.756,3.919,5.183,1.01,0.05, ,0,0,0,0,0, ,990.1,13.5,34.9,-0.6,-0.3,-1.5,25,991.884,14.1927,35.8264,-0.529358,-0.418812,-1.55775,
2026_06_10_18_15_45.539,3.865,25.3,0,0.756,3.915,5.178,1.01,0.05, ,0,0,0,0,0, ,991.8,13.6,37.5,-0.5,-0.3,-1.5,25,991.827,14.1536,35.8492,-0.530616,-0.411572,-1.55423,
