UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_05_26_19_06_05.685,0,0,29.9,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-35.4,152.4,990.3,-0.3,-0.4,-1.8,0,0.128209,-0.551949,-3.58658,0.00108651,0.00144868,
2026_05_26_19_06_05.949,1,0,30,0,0.757,0,0,0, ,0,0,0,0,0, ,0,-36.4,151.7,989.8,-0.3,-0.4,-1.8,0,0.129287,-0.55659,-3.61674,0.00109565,0.00146087,
2026_05_26_19_06_06.213,2,0,30,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-35.7,152.2,989.9,-0.3,-0.3,-1.8,0,0.130362,-0.561221,-3.64683,0.00110476,0.00147302,
2026_05_26_19_06_06.475,3,0,30,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-34.7,152.5,989.1,-0.3,-0.4,-1.8,0,0.131435,-0.56584,-3.67684,0.00111386,0.00148516,
2026_05_26_19_06_06.737,4,0,30,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-36.8,152.7,989.2,-0.2,-0.3,-1.7,0,0.132504,-0.570448,-3.70678,0.00112293,0.00149729,
2026_05_26_19_06_07.004,5,0,29.8,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-36.4,151.7,988.8,-0.3,-0.4,-1.8,0,0.13357,-0.575046,-3.73665,0.00113199,0.00150945,
2026_05_26_19_06_07.269,6,0,30,0,0.761,0,0,0, ,0,0,0,0,0, ,0,-35.1,152.2,989.7,-0.3,-0.4,-1.7,0,0.134632,-0.579633,-3.76645,0.00114105,0.00152168,
2026_05_26_19_06_07.531,7,0,30,0,0.756,0,0,0, ,0,0,0,0,0, ,0,-36.3,152.2,989.6,-0.2,-0.4,-1.7,0,0.13569,-0.584209,-3.79618,0.00115014,0.00153402,
2026_05_26_19_06_07.796,8,0,29.9,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-36.6,153,990.2,-0.3,-0.4,-1.8,0,0.136742,-0.588776,-3.82583,0.00115929,0.00154651,
2026_05_26_19_06_08.060,9,0,29.9,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-36,151.8,989,-0.2,-0.4,-1.8,0,0.137789,-0.593333,-3.85542,0.00116854,0.0015592,
2026_05_26_19_06_08.324,10,0,30,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-36.3,153,989.5,-0.3,-0.4,-1.8,0,0.138828,-0.59788,-3.88494,0.00117793,0.00157211,
2026_05_26_19_06_08.587,11,0,30,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-34.6,151.2,989.3,-0.3,-0.3,-1.7,0,0.13986,-0.602418,-3.9144,0.00118753,0.00158529,
2026_05_26_19_06_08.851,12,0,30,0,0.76,0,0,0, ,0,0,0,0,0, ,0,-34.9,151.7,989,-0.3,-0.4,-1.8,0,0.140883,-0.606946,-3.94379,0.0011974,0.00159877,
2026_05_26_19_06_09.116,13,0,30,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-35.6,151.7,989,-0.3,-0.4,-1.7,0,0.141895,-0.611466,-3.97312,0.00120758,0.0016126,
2026_05_26_19_06_09.380,14,0,29.9,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-35.2,152.2,988.5,-0.3,-0.4,-1.8,0,0.142897,-0.615978,-4.00239,0.00121815,0.00162683,
2026_05_26_19_06_09.652,15,0,30,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-36.4,152.7,988.7,-0.3,-0.4,-1.7,0,0.143887,-0.620482,-4.0316,0.00122914,0.00164151,
2026_05_26_19_06_09.919,16,0,30,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-35.2,151.9,990.1,-0.2,-0.4,-1.8,0,0.144864,-0.624979,-4.06075,0.00124061,0.00165667,
2026_05_26_19_06_10.182,17,0,30,0,0.76,0,0,0, ,0,0,0,0,0, ,0,-35.5,151.9,989.3,-0.2,-0.3,-1.8,0,0.145829,-0.62947,-4.08985,0.0012526,0.00167236,
2026_05_26_19_06_10.463,18,0,29.9,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-35.6,151.6,989.1,-0.3,-0.4,-1.8,0,0.146779,-0.633955,-4.1189,0.00126518,0.00168862,
2026_05_26_19_06_10.746,19,0,30,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-36.2,151.2,989.8,-0.3,-0.5,-1.8,0,0.147715,-0.638435,-4.1479,0.00127842,0.0017055,
2026_05_26_19_06_11.014,20,0,30,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-36.2,152.8,989.6,-0.3,-0.4,-1.8,0,0.148635,-0.642911,-4.17685,0.0012924,0.00172305,
2026_05_26_19_06_11.285,21,0,30,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-36,151.8,987.5,-0.2,-0.4,-1.8,0,0.14954,-0.647385,-4.20576,0.0013072,0.00174129,
2026_05_26_19_06_11.553,22,0,30,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-36.2,152.4,988.5,-0.3,-0.4,-1.7,0,0.150427,-0.651856,-4.23462,0.00132289,0.00176024,
2026_05_26_19_06_11.836,23,0,29.9,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-36.2,152.9,990.3,-0.2,-0.4,-1.8,0,0.151297,-0.656326,-4.26345,0.00133954,0.00177993,
2026_05_26_19_06_12.115,24,0,29.9,0,0.757,0,0,0, ,0,0,0,0,0, ,0,-36.8,151.7,989.6,-0.3,-0.3,-1.8,0,0.152147,-0.660796,-4.29224,0.00135724,0.00180037,
2026_05_26_19_06_12.379,25,0,30,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-36.4,150.3,990.9,-0.2,-0.4,-1.7,0,0.152977,-0.665266,-4.321,0.00137608,0.00182157,
2026_05_26_19_06_12.648,26,0,30,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-36.2,151.7,989.2,-0.3,-0.4,-1.8,0,0.153785,-0.669739,-4.34974,0.00139616,0.00184358,
2026_05_26_19_06_12.914,27,0,29.9,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-36,151.4,989,-0.3,-0.4,-1.8,0,0.15457,-0.674213,-4.37844,0.00141758,0.0018664,
2026_05_26_19_06_13.190,28,0,30,0,0.757,0,0,0, ,0,0,0,0,0, ,0,-36,151.2,988,-0.3,-0.4,-1.8,0,0.15533,-0.678692,-4.40712,0.00144042,0.00189007,
2026_05_26_19_06_13.469,29,0,29.9,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-35.6,153,989.3,-0.2,-0.4,-1.8,0,0.156063,-0.683177,-4.43578,0.00146478,0.00191462,
2026_05_26_19_06_13.733,30,0,30,0,0.757,0,0,0, ,0,0,0,0,0, ,0,-36.4,152,988.7,-0.3,-0.4,-1.8,0,0.156768,-0.687669,-4.46441,0.00149074,0.00194006,
2026_05_26_19_06_14.000,31,0,29.9,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-36.3,152.2,988.5,-0.3,-0.4,-1.8,0,0.157443,-0.692169,-4.49303,0.0015184,0.0019664,
2026_05_26_19_06_14.267,32,0,30,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-35.7,153.1,990.2,-0.2,-0.4,-1.8,0,0.158087,-0.696679,-4.52164,0.00154784,0.00199366,
2026_05_26_19_06_14.535,33,0,29.9,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-35.1,153.4,988.7,-0.3,-0.3,-1.8,0,0.158697,-0.701201,-4.55024,0.00157915,0.00202185,
2026_05_26_19_06_14.804,34,0,30,0,0.757,0,0,0, ,0,0,0,0,0, ,0,-34.4,152.2,988.5,-0.3,-0.4,-1.7,0,0.159273,-0.705734,-4.57882,0.0016124,0.00205099,
2026_05_26_19_06_15.072,35,0,30,0,0.756,0,0,0, ,0,0,0,0,0, ,0,-36.3,152.9,989.2,-0.3,-0.4,-1.7,0,0.159813,-0.71028,-4.60741,0.00164769,0.00208109,
2026_05_26_19_06_15.344,36,0,30,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-36.4,151.4,988.8,-0.3,-0.3,-1.8,0,0.160316,-0.71484,-4.63599,0.00168508,0.00211217,
2026_05_26_19_06_15.613,37,0,29.9,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-35.6,151.4,989,-0.3,-0.4,-1.8,0,0.160781,-0.719413,-4.66457,0.00172464,0.00214427,
2026_05_26_19_06_15.882,38,0,30,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-36.4,151.8,989.5,-0.2,-0.4,-1.8,0,0.161207,-0.724,-4.69315,0.00176642,0.00217742,
2026_05_26_19_06_16.151,39,0,30,0,0.759,0,0,0, ,0,0,0,0,0, ,0,-36.2,151.8,988.8,-0.2,-0.3,-1.8,0,0.161593,-0.728602,-4.72174,0.00181049,0.00221165,
2026_05_26_19_06_16.414,40,0,30,0,0.76,0,0,0, ,0,0,0,0,0, ,0,-35.7,152.2,988,-0.3,-0.4,-1.8,0,0.161937,-0.73322,-4.75034,0.0018569,0.00224699,
2026_05_26_19_06_16.788,41,0,30,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-34.3,152.3,988.8,-0.3,-0.4,-1.7,0,0.162239,-0.737854,-4.77894,0.00190571,0.00228351,
2026_05_26_19_06_17.057,42,0,29.9,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-35.2,151.6,990.2,-0.2,-0.4,-1.7,0,0.162497,-0.742505,-4.80757,0.00195701,0.00232122,
2026_05_26_19_06_17.326,43,0,29.9,0,0.758,0,0,0, ,0,0,0,0,0, ,0,-36,151.7,988.6,-0.3,-0.4,-1.8,0,0.162711,-0.747174,-4.83621,0.00201084,0.00236018,
