UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_04_21_14_40_51.455,0,27.1,0,1.177,0,0,0,0, ,0,0,0,0,0, ,125.4,128.6,993,-1.4,-0.4,0.2,25,-0.454163,-0.465752,-3.59636,0.0050704,0.00144868,-0.000724342,
2026_04_21_14_40_51.480,0,26.9,0,1.176,0,0,0,0, ,0,0,0,0,0, ,124,128.5,992.7,-1.4,0,0.1,25,-0.457982,-0.469669,-3.6266,0.00511303,0.00146087,-0.000730435,
2026_04_21_14_40_51.495,0,27,0,1.175,0,0,0,0, ,0,0,0,0,0, ,123,128.2,991.3,-1.4,-0.2,0.2,25,-0.461792,-0.473576,-3.65677,0.00515557,0.00147307,-0.000736522,
2026_04_21_14_40_51.515,0,27,0,1.175,0,0,0,0, ,0,0,0,0,0, ,124.1,128.6,991,-1.3,-0.5,0.2,25,-0.465593,-0.477474,-3.68687,0.005198,0.00148537,-0.000742621,
2026_04_21_14_40_51.535,0,26.9,0,1.173,0,0,0,0, ,0,0,0,0,0, ,123.4,127.9,990.9,-1.4,-0.3,0.2,25,-0.469387,-0.481362,-3.71689,0.00524034,0.00149787,-0.000748754,
2026_04_21_14_40_51.555,0,26.9,0,1.175,0,0,0,0, ,0,0,0,0,0, ,123.7,127.4,992.4,-1.4,-0.5,0.1,25,-0.473174,-0.485241,-3.74684,0.0052826,0.00151071,-0.000754945,
2026_04_21_14_40_51.574,0,26.9,0,1.174,0,0,0,0, ,0,0,0,0,0, ,125.3,127.3,993,-1.3,-0.4,0.2,25,-0.476956,-0.489111,-3.77672,0.00532481,0.00152399,-0.000761222,
2026_04_21_14_40_51.594,0,27,0,1.174,0,0,0,0, ,0,0,0,0,0, ,124.3,129.7,994.1,-1.4,-0.1,0.1,25,-0.480735,-0.492973,-3.80654,0.00536699,0.00153783,-0.000767624,
2026_04_21_14_40_51.614,0,27,0,1.175,0,0,0,0, ,0,0,0,0,0, ,123.7,129,994.2,-1.3,-0.6,0.2,25,-0.484513,-0.496828,-3.83628,0.00540919,0.00155234,-0.000774199,
2026_04_21_14_40_51.634,0,26.9,0,1.175,0,0,0,0, ,0,0,0,0,0, ,123.9,128.4,995.7,-1.2,-0.6,0.2,25,-0.488291,-0.500675,-3.86596,0.00545146,0.00156764,-0.000781004,
